#{"t_start": 1774181056.7920475, "env_id": "None"}
r,l,t
-2.032548,150,839.544887
-5.393021,150,843.247885
-5.14437,150,846.900187
-7.992688,150,850.075728
-9.118517,150,852.861222
-4.910377,150,855.951486
-7.287498,150,861.983845
-4.146652,150,865.439864
-3.175184,150,869.293778
-3.146159,150,873.099534
-3.421875,150,876.509597
10.028622,46,877.510713
-5.281888,150,880.982162
-5.360055,150,884.747962
-3.749253,150,887.691218
-5.568014,150,890.857419
-5.644985,150,893.945241
-3.818637,150,897.839239
-3.91168,150,901.45966
-5.600546,150,905.020189
-5.86118,150,910.659028
-6.187396,150,914.475259
-4.911411,150,918.243154
-4.995178,150,921.798988
-4.668678,150,924.963739
6.610283,142,927.982116
-3.734964,150,931.245167
-4.934484,150,935.030546
-3.414986,150,938.728237
-4.075645,150,942.497027
-4.993745,150,945.905035
-4.012605,150,949.468567
-7.06417,150,953.209949
-5.097677,150,956.649999
-3.752798,150,962.326695
-4.909094,150,965.362959
-4.672559,150,968.225316
-3.99042,150,971.323359
-3.818688,150,974.837883
-3.399507,150,978.498198
-5.172026,150,982.264535
-4.351278,150,986.074775
-5.032548,150,989.711965
-5.084305,150,993.231596
-3.95284,150,996.734105
-3.247856,150,1000.34839
9.328177,62,1001.78207
-2.786439,150,1004.585383
-4.539935,150,1009.974242
-3.967853,150,1013.905538
-4.775633,150,1017.714878
-4.167997,150,1021.596803
10.85438,70,1023.325818
-5.187501,150,1027.005697
-3.871292,150,1030.49508
-3.713625,150,1034.354698
-3.783087,150,1037.701567
-3.554385,150,1040.716868
-3.663622,150,1043.70947
-4.925671,150,1047.092927
-3.938602,150,1050.603955
-5.505913,150,1054.183367
-3.566958,150,1059.601912
-3.283674,150,1063.067128
-3.197308,150,1066.858027
-3.262189,150,1070.575693
-4.523375,150,1074.299236
-5.031266,150,1077.369731
-4.049,150,1080.365282
-4.255821,150,1083.1831
-3.891623,150,1086.483809
-3.459691,150,1089.840969
-3.713312,150,1093.789769
-5.125098,150,1097.352936
-3.916725,150,1101.050281
-5.188127,150,1104.493619
-4.734927,150,1110.397747
7.390564,136,1113.594858
-2.381055,150,1116.648814
-2.993273,150,1119.465951
-3.691769,150,1122.870635
-3.608641,150,1126.523476
-4.273089,150,1130.34681
-5.431921,150,1134.046612
-1.884086,150,1138.071904
-3.434778,150,1141.534515
-6.256121,150,1145.074723
-5.204802,150,1148.442441
-1.991902,150,1151.927154
-3.631192,150,1155.129548
-4.487712,150,1160.039765
-4.038108,150,1163.539393
-2.878999,150,1167.363624
-2.371914,150,1171.018398
9.63796,48,1172.246128
-7.25447,150,1175.811814
-3.020803,150,1179.609173
9.339339,86,1181.611248
-3.124759,150,1185.218558
9.612641,59,1186.722138
-4.726043,150,1190.165795
-2.041833,150,1193.028709
-5.79051,150,1196.037378
-3.600567,150,1199.546723
-3.088907,150,1203.10847
8.420471,126,1208.47201
-3.531169,150,1212.175143
8.213275,96,1214.571823
-8.021887,150,1218.161534
-3.129739,150,1221.710212
-3.011476,150,1225.404912
-5.321587,150,1228.892442
-2.384245,150,1231.907894
-2.442747,150,1234.873623
-4.212893,150,1237.920832
-4.996724,150,1241.70732
7.858456,99,1244.175576
-3.872265,150,1247.791232
-5.228651,150,1251.219504
-4.039067,150,1257.218014
-3.907177,150,1260.551875
-5.551049,150,1264.080663
-7.608707,150,1267.161323
-3.627843,150,1270.239476
-1.961758,150,1273.427212
10.406862,56,1274.583689
-3.812697,150,1278.040786
-4.564549,150,1281.685017
-2.84381,150,1285.930565
-5.987844,150,1289.704343
-2.072009,150,1293.369919
8.558786,63,1294.89987
-3.691389,150,1298.376454
-6.266067,150,1301.867821
9.147984,58,1303.281002
-3.163651,150,1308.345083
-4.381328,150,1311.292193
-4.873473,150,1314.579699
-4.836759,150,1318.263944
-8.107098,150,1321.896904
-4.445382,150,1325.494493
-4.24282,150,1329.001155
-5.419442,150,1332.496902
-3.204587,150,1336.156578
-3.819735,150,1339.838883
-3.820713,150,1343.151018
-4.148886,150,1346.22211
-4.3261,150,1349.26133
-4.109148,150,1352.72999
-4.662995,150,1358.42439
8.533663,104,1360.853378
-5.908095,150,1364.45959
-3.745553,150,1368.065767
-7.158547,150,1371.925802
-4.252189,150,1375.588693
-3.468776,150,1378.832361
-7.108329,150,1382.135417
-4.287593,150,1385.087738
-2.541318,150,1388.271652
-3.651651,150,1391.811416
-3.126715,150,1395.430997
-2.452865,150,1399.011423
-2.912505,150,1402.595867
-4.447231,150,1408.374047
-3.914386,150,1412.174746
-3.203752,150,1415.731854
-3.002781,150,1419.227427
-1.946174,150,1422.437626
-8.92714,150,1425.362823
-3.600353,150,1428.78167
-4.112039,150,1432.467597
-3.255252,150,1436.344717
-4.67869,150,1439.962167
-3.866653,150,1443.725613
-2.663409,150,1447.339729
-3.15193,150,1451.105041
-3.46245,150,1456.858865
-2.762363,150,1459.861598
8.416037,65,1461.147638
-3.627673,150,1464.211142
-2.865086,150,1467.656937
-5.94732,150,1471.438374
-3.595775,150,1474.991595
-5.047953,150,1478.385502
-2.064301,150,1482.063763
-4.76057,150,1485.617882
-3.158105,150,1489.179487
7.611708,67,1490.801494
-4.341359,150,1494.468664
-3.15082,150,1497.371077
-4.574918,150,1500.265022
-2.566466,150,1505.076491
-3.646903,150,1508.309278
-3.323789,150,1511.937711
-4.540472,150,1515.960259
-2.152327,150,1519.598139
