#{"t_start": 1774279009.95746, "env_id": "None"}
r,l,t
-4.96954,150,845.006381
-7.907216,150,848.899301
-2.816303,150,852.811125
-6.578411,150,856.754452
6.792494,115,859.978207
9.873271,29,860.833035
-4.369819,150,864.581751
9.745188,36,865.580838
-6.460253,150,871.89484
-4.395794,150,875.867446
6.03528,150,879.766268
-6.201563,150,883.440916
-4.808901,150,887.270043
10.099844,7,887.519064
-6.415484,150,891.637067
-4.853064,150,895.404298
-5.883162,150,899.055346
8.350456,91,901.399454
-5.553547,150,905.412494
-5.247326,150,909.511654
-5.942215,150,913.169319
10.087279,7,913.367008
-4.640073,150,916.995996
-5.704792,150,920.831262
-3.887422,150,927.29505
-6.373413,150,930.753724
-3.617121,150,934.629833
-4.071906,150,938.425978
-4.849521,150,942.420604
-5.369939,150,946.284281
-5.112569,150,950.085356
-5.170717,150,953.807494
-5.917397,150,957.635916
-4.211676,150,961.200054
7.370668,49,962.606941
-6.062236,150,966.498898
9.081795,57,967.882835
9.852039,30,968.606237
-11.16798,150,972.432369
5.420333,116,975.222196
10.164953,17,975.685645
7.356854,117,981.24468
-4.879138,150,985.145369
-3.820433,150,988.93302
-3.49701,150,992.699803
-3.567481,150,996.645695
-4.240973,150,1000.299791
-3.660422,150,1004.192091
-3.563129,150,1007.949517
-4.168145,150,1011.717131
9.436839,24,1012.332284
-3.413875,150,1016.353076
7.379563,98,1018.935924
-5.843318,150,1022.588954
-2.67507,150,1026.194323
7.416549,123,1029.470252
9.876777,35,1030.423156
9.330326,36,1031.323555
8.562972,62,1035.477564
9.30213,47,1036.575893
7.630131,100,1039.060787
9.874905,21,1039.701351
-11.296629,150,1043.571781
8.731933,87,1045.991812
8.163393,105,1048.781826
8.931343,73,1050.604261
9.654591,30,1051.459741
9.652168,20,1051.950626
-2.341562,125,1054.996042
-6.266987,150,1059.030304
-21.984134,150,1062.966627
-6.584923,150,1066.725565
-4.324849,150,1070.57637
7.622044,95,1072.846849
-7.275212,150,1076.445646
-3.827666,150,1080.344696
-8.869204,150,1083.823315
-5.600065,150,1090.126635
-4.189615,150,1093.627706
-4.570063,150,1097.473165
-6.197632,150,1101.612429
-3.670175,150,1105.253663
-6.394141,150,1109.088089
-3.632551,150,1112.859954
-6.032367,150,1116.466236
-7.464459,150,1120.276633
-3.951624,150,1124.14494
-7.923302,150,1128.095887
-5.219354,150,1131.865263
-4.039182,150,1135.681134
-10.2795,150,1139.655147
-4.340462,150,1145.856889
-5.044663,150,1149.559704
-8.694751,150,1153.446704
-4.580945,150,1157.453816
-4.936862,150,1161.332247
-3.545802,150,1165.177547
4.80236,145,1168.897564
-6.190003,150,1172.875836
9.347424,63,1174.518786
-3.998904,150,1178.172501
-2.988733,150,1182.0108
-5.132687,150,1185.839308
-5.074134,150,1189.466731
-6.992476,150,1193.319442
6.42399,149,1199.447718
-6.941148,150,1203.173951
-7.161854,150,1207.224769
-5.23897,150,1210.654729
-5.571509,150,1214.337944
-3.758486,150,1218.293688
-2.916504,150,1222.274726
-7.181868,150,1226.221055
-6.73844,150,1230.184426
-4.391902,150,1233.791125
-7.959192,150,1237.860017
-5.740173,150,1241.5352
-5.053327,150,1245.575587
-3.613751,150,1249.454769
9.563866,39,1253.040545
-3.165607,150,1256.8218
-3.540433,150,1260.793792
-4.939889,150,1264.701088
-2.818784,150,1268.257582
-8.246493,150,1271.976
-4.48542,150,1275.960062
-4.592006,150,1279.840834
-3.853727,150,1283.688975
-3.359459,150,1287.379913
-3.51932,150,1291.307119
-2.90022,150,1294.848802
-5.137011,150,1298.65398
-4.588019,150,1302.329953
-4.711296,150,1308.765729
-4.790461,150,1312.765088
-3.230529,150,1316.801496
9.544544,30,1317.62659
9.031474,91,1320.008049
-3.747134,150,1324.062618
-6.954149,150,1327.888092
-7.625598,150,1331.971992
-3.66245,150,1335.563915
-3.71702,150,1338.883314
-3.877431,150,1342.973829
-3.917248,150,1346.961983
-3.717664,150,1350.904335
-5.19572,150,1354.867624
-5.070742,150,1358.855906
-5.109006,150,1364.833436
-3.771111,150,1368.665502
-3.921577,150,1372.391129
-2.820252,150,1376.38105
-4.236761,150,1380.045846
-4.193873,150,1384.020807
-18.756664,150,1387.898481
