episode,timestep,level,success,rolling_success_rate
245,22064,1,1,0.45
246,22091,1,1,0.5
247,22116,1,1,0.55
248,22216,1,0,0.55
249,22316,1,0,0.5
250,22416,1,0,0.45
251,22455,1,1,0.45
252,22511,1,1,0.5
253,22611,1,0,0.45
254,22678,1,1,0.5
255,22744,1,1,0.5
256,22844,1,0,0.5
257,22895,1,1,0.5
258,22978,1,1,0.55
259,23078,1,0,0.55
260,23178,1,0,0.55
261,23223,1,1,0.55
262,23267,1,1,0.6
263,23350,1,1,0.65
264,23367,1,1,0.65
265,23403,1,1,0.65
266,23465,1,1,0.65
267,23565,1,0,0.6
268,23665,1,0,0.6
269,23708,1,1,0.65
270,23741,1,1,0.7
271,23873,2,0,0.0
272,23995,2,0,0.0
273,24095,2,0,0.0
274,24205,2,0,0.0
275,24263,2,1,0.2
276,24310,2,1,0.3333
277,24431,2,0,0.2857
278,24531,2,0,0.25
279,24640,2,0,0.2222
280,24680,2,1,0.3
281,24792,2,1,0.3636
282,24898,2,0,0.3333
283,25010,2,1,0.3846
284,25116,2,0,0.3571
285,25216,2,0,0.3333
286,25316,2,0,0.3125
287,25441,2,0,0.2941
288,25574,2,0,0.2778
289,25674,2,0,0.2632
290,25751,2,1,0.3
291,25851,1,0,0.0
292,25938,1,1,0.5
293,26038,1,0,0.3333
294,26105,1,1,0.5
295,26205,1,0,0.4
296,26234,1,1,0.5
297,26261,1,1,0.5714
298,26341,1,1,0.625
299,26370,1,1,0.6667
300,26470,1,0,0.6
301,26496,1,1,0.6364
302,26541,1,1,0.6667
303,26616,1,1,0.6923
304,26716,1,0,0.6429
305,26796,1,1,0.6667
306,26805,1,1,0.6875
307,26905,1,0,0.6471
308,26931,1,1,0.6667
309,26954,1,1,0.6842
310,26976,1,1,0.7
311,27078,2,0,0.0
312,27178,2,0,0.0
313,27275,2,1,0.3333
314,27375,2,0,0.25
315,27419,2,1,0.4
316,27519,2,0,0.3333
317,27614,2,1,0.4286
318,27676,2,1,0.5
319,27770,2,1,0.5556
320,27904,2,0,0.5
321,27985,2,1,0.5455
322,28114,2,0,0.5
323,28230,2,0,0.4615
324,28275,2,1,0.5
325,28364,2,1,0.5333
326,28464,2,0,0.5
327,28571,2,0,0.4706
328,28668,2,1,0.5
329,28768,2,0,0.4737
330,28890,2,0,0.45
331,28961,2,1,0.5
332,29068,2,0,0.5
333,29136,2,1,0.5
334,29204,2,1,0.55
335,29304,2,0,0.5
336,29404,2,0,0.5
337,29509,2,1,0.5
