#{"t_start": 1774417216.9971836, "env_id": "None"}
r,l,t
-2.750051,141,1700.478546
8.626098,65,1703.764292
10.250888,30,1705.408064
9.479108,89,1709.827336
8.070034,122,1715.848818
4.671147,137,1723.445365
8.770797,29,1724.910753
9.25823,94,1729.883365
9.374555,86,1734.2645
8.916935,105,1739.589143
7.935914,116,1745.396556
-2.024554,107,1750.9452
9.299348,82,1755.227746
8.778811,87,1759.646555
8.302848,70,1763.088298
-2.839781,111,1768.546624
9.037663,68,1774.597551
8.728513,117,1780.189142
9.454751,79,1784.074392
10.298169,38,1786.093102
8.96596,109,1791.613322
9.429812,117,1797.818642
7.263887,146,1805.176926
8.575646,107,1810.45407
9.049181,94,1814.597424
7.709122,86,1819.035754
9.359936,103,1824.318105
9.718514,59,1827.36755
8.959297,90,1831.984517
6.468178,110,1837.53626
-0.758029,115,1843.502656
10.151027,45,1845.617776
8.335159,102,1850.865127
9.849338,86,1855.370092
8.209553,83,1859.610346
9.188584,71,1863.387407
10.095446,63,1866.478102
8.713467,113,1872.035194
6.794701,148,1881.66976
7.491126,161,1889.618633
8.209906,78,1893.599516
8.576392,116,1899.43733
9.430902,89,1904.179823
9.759808,43,1906.322106
10.0852,61,1909.455005
9.641661,61,1912.424
9.630724,75,1916.347282
10.063195,58,1919.228468
10.01321,36,1921.139477
9.680735,63,1924.140793
9.225623,98,1928.90077
9.989438,98,1933.826684
9.563369,83,1937.991841
9.381832,79,1941.783008
8.772087,82,1945.341773
10.383813,32,1946.879884
9.791256,45,1949.218525
8.609728,99,1954.22439
8.074639,109,1959.417929
9.903534,48,1961.724314
-4.74764,206,1971.565594
9.027318,118,1977.383254
9.990471,55,1980.197745
9.853674,71,1986.446841
9.623238,71,1990.101247
10.170039,75,1993.768302
10.673338,45,1995.997804
9.648182,61,1999.004854
8.26862,75,2002.760022
-4.149989,123,2008.700346
10.318503,77,2012.714455
10.112278,49,2015.270113
9.394621,98,2020.433677
9.911253,69,2024.031641
8.640845,109,2029.496657
10.446341,38,2031.428051
10.835567,34,2033.131582
9.443794,78,2036.936431
6.080346,120,2042.738035
7.981918,120,2048.399887
9.755148,62,2051.407857
6.379417,154,2058.755709
9.431352,78,2062.585691
9.002754,78,2066.552615
9.406965,80,2070.389233
10.319904,45,2072.562782
7.360385,106,2077.598763
10.263173,63,2080.696343
9.633802,58,2083.577549
9.623282,73,2089.913093
9.886709,64,2092.84714
10.393309,45,2095.137632
10.517237,57,2098.044518
8.902277,138,2105.000896
8.137564,118,2110.586633
9.910502,70,2113.878773
8.439306,99,2118.605663
8.993581,123,2124.320352
9.765062,43,2126.501636
8.351261,97,2131.235285
9.766608,70,2134.518271
7.84471,110,2139.922697
10.132379,39,2141.89001
9.66296,56,2144.672454
-4.330649,140,2151.458811
8.603383,114,2156.99704
10.246096,74,2160.506588
9.321519,78,2164.480065
9.570193,72,2168.165265
9.33892,109,2173.855971
9.292328,49,2176.077282
9.443268,80,2180.360796
9.965702,71,2184.033368
10.246855,70,2187.62574
10.019573,49,2192.64147
10.345862,31,2194.155314
-5.891553,199,2204.236301
10.511384,29,2205.823034
10.667175,36,2207.533299
9.663229,65,2210.770977
8.368338,103,2216.307474
9.549038,58,2219.387311
10.056846,56,2222.305989
6.97659,95,2226.830404
10.066513,49,2229.254992
9.971769,53,2231.718786
6.768859,188,2241.281202
3.767997,134,2248.399059
10.398118,58,2251.417799
9.097579,88,2256.251539
10.002236,92,2260.963545
10.256353,64,2264.344922
9.422516,91,2268.917453
10.59548,62,2272.021317
9.965922,46,2274.18511
7.941057,127,2280.834289
7.859265,54,2283.750127
10.280085,54,2286.371923
8.514684,84,2290.635799
10.485903,36,2292.526255
8.831315,53,2295.337185
10.333975,69,2301.580447
5.60288,116,2307.203459
10.132031,41,2309.322806
8.998624,68,2312.756387
10.609205,69,2316.354129
9.67958,105,2321.802921
10.246513,35,2323.570537
9.764833,59,2326.503306
10.078067,77,2330.264309
10.410226,68,2333.518991
7.539788,129,2339.678876
10.199743,51,2342.204179
10.186872,60,2345.265116
10.214549,78,2349.411035
10.563588,58,2352.578847
9.640605,74,2356.549026
9.808889,99,2361.450963
