#{"t_start": 1774404192.771334, "env_id": "None"}
r,l,t
7.55,138,1139.215989
-3.21,168,1143.362458
-3.5,188,1147.975258
-3.28,106,1150.663501
-4.86,183,1157.016995
-2.1,138,1160.529691
-2.47,130,1163.731142
-2.58,150,1167.625805
-4.64,173,1172.056335
-2.94,129,1175.232798
-3.43,181,1179.900203
-3.22,205,1184.904355
-1.95,105,1187.669493
-2.46,105,1190.295419
-1.98,108,1192.894045
-2.65,148,1196.705596
-3.21,150,1200.412264
-5.0,158,1204.668846
-2.78,134,1210.121437
8.3,108,1213.020954
-3.3,204,1218.309202
-2.82,183,1223.29136
-3.49,124,1226.662217
-2.15,143,1230.732453
-1.84,112,1233.750598
-3.76,178,1238.555068
-2.09,110,1241.265708
-2.89,190,1246.155701
-2.87,143,1249.845699
-3.68,206,1254.890836
-3.65,203,1260.195225
-3.35,191,1267.672665
-2.55,138,1271.634971
-3.68,188,1276.977293
-3.17,209,1282.608188
-3.42,168,1287.458698
-3.12,159,1292.001087
-3.39,132,1295.799105
-2.39,185,1300.937119
-4.59,198,1306.358031
-2.63,137,1310.246099
-3.83,173,1314.68063
-2.74,148,1318.78529
8.16,104,1323.806634
-1.92,111,1327.006235
-3.15,126,1330.636353
-2.09,137,1334.550272
-2.87,170,1339.157704
-2.81,119,1342.608964
-2.28,138,1346.463233
-3.91,121,1349.694388
-2.26,127,1353.115244
-2.6,161,1357.807615
-2.85,159,1362.367652
-3.85,175,1367.122251
-2.79,171,1372.032828
-3.54,174,1376.906005
-3.19,193,1384.385705
-5.58,156,1388.576152
-3.93,201,1394.172741
-3.75,186,1399.544215
-2.51,107,1402.548392
-3.39,177,1407.434587
-3.42,171,1411.995019
-2.92,139,1415.906578
-2.21,140,1419.777194
5.53,181,1424.695051
-3.32,161,1429.228286
-3.74,179,1434.24835
-3.7,199,1441.756477
-3.21,159,1446.05525
-3.08,182,1451.030186
-3.18,174,1455.714204
-3.9,192,1460.995568
-2.72,182,1466.184005
-4.04,191,1471.266701
-3.93,174,1476.167703
-2.98,181,1481.246985
-2.7,129,1484.895486
-5.21,194,1490.203861
-4.16,200,1495.165279
-4.75,208,1502.380376
-4.23,207,1507.619298
-2.63,146,1511.217813
-2.21,113,1514.300136
-2.28,120,1516.984377
-2.91,129,1520.112111
-2.65,157,1523.897662
-3.29,194,1528.941478
-3.03,186,1533.856839
-3.23,206,1539.115557
-3.14,143,1543.008143
-1.94,113,1545.979525
-3.34,163,1552.554886
-2.77,196,1557.243479
-4.96,208,1562.714339
-2.02,121,1565.666086
-4.63,193,1570.310299
-3.47,158,1574.281287
-3.34,181,1578.97852
-1.6,106,1581.854116
-1.89,108,1584.708587
-3.06,162,1588.72456
8.52,113,1591.732194
-3.04,160,1595.871185
-4.22,206,1601.388723
-3.44,200,1608.886727
6.81,104,1611.499614
-3.14,188,1616.382441
-2.96,152,1620.118844
-3.44,209,1625.683929
7.52,141,1629.119165
-2.84,149,1632.586544
-2.75,116,1635.720916
-2.89,181,1640.715417
-3.25,139,1644.187146
-5.2,121,1646.847542
-2.91,168,1651.033835
-1.91,128,1654.512873
-2.4,111,1657.544803
-3.15,207,1664.778286
-2.71,181,1669.445271
-3.86,131,1672.673931
-2.31,159,1677.038898
-2.43,147,1681.069743
-1.99,127,1684.396723
6.55,139,1687.973696
-1.96,106,1690.528872
-2.3,122,1693.614053
-2.37,156,1697.639939
-2.59,151,1701.593743
-3.97,199,1706.786497
-4.3,208,1712.491208
-3.3,141,1718.495088
-3.2,146,1722.577021
-4.84,196,1727.518655
-3.87,207,1732.843677
-2.85,171,1737.470079
-3.09,192,1742.570776
-3.28,151,1746.580126
-3.93,132,1750.291136
7.18,148,1754.304395
-5.96,146,1758.071681
6.73,175,1763.334846
6.55,193,1768.822065
-2.01,138,1772.602637
-1.67,122,1778.009162
-1.71,108,1780.933636
-3.01,124,1784.638473
-1.79,107,1787.577052
-2.55,174,1792.554675
-3.01,175,1797.41736
-2.38,121,1800.791293
7.08,158,1805.319912
8.07,77,1807.656404
-2.61,108,1810.617402
-2.02,121,1814.05638
6.67,163,1818.649594
-3.8,200,1824.343912
-2.25,117,1827.671337
-2.77,133,1831.305758
9.0,65,1835.3492
-3.56,185,1840.411593
-1.5,105,1843.507815
-2.56,139,1847.659203
-3.06,141,1851.499385
-3.87,183,1856.808559
-2.6,161,1861.655823
-3.84,195,1867.140249
-2.12,113,1870.177231
-2.09,155,1874.715619
-3.01,148,1878.475517
-3.83,176,1882.901946
-3.6,162,1887.34615
-3.53,209,1895.130536
-3.23,161,1899.894848
-4.68,207,1905.535101
-4.34,209,1911.505286
-2.02,139,1914.995411
-1.95,114,1918.306572
-2.69,161,1922.893267
-3.63,204,1928.493001
-2.9,125,1931.906501
