#{"t_start": 1774195295.0941722, "env_id": "None"}
r,l,t
-4.752545,150,766.72998
6.628895,150,769.723251
-4.661021,150,772.226407
-3.778075,150,775.106709
-4.854419,150,777.791361
-6.057462,150,780.5743
-7.685488,150,783.575377
-3.476094,150,789.395317
-3.511866,150,792.380588
-3.039965,150,795.468206
-6.593533,150,798.560851
-7.483793,150,801.381172
-7.656371,150,804.350039
-4.243282,150,807.53169
-10.296812,150,810.590249
-8.711769,150,813.48233
-9.245312,150,816.358049
-4.082113,150,819.346368
-8.155961,150,822.514544
-5.295951,150,825.682341
-3.784088,150,831.028919
-7.923058,150,834.215817
-3.165449,150,837.433908
-7.269227,150,840.597969
-2.612647,150,843.686582
-8.095003,150,846.821803
-4.110007,150,849.916054
-4.554599,150,852.563357
-3.491025,150,854.907751
-1.982983,150,857.511225
-5.066813,150,860.419415
-3.636816,150,863.68829
-4.698728,150,866.728301
-3.828585,150,869.738921
-4.710933,150,875.252838
-3.569488,150,878.179695
9.403202,88,879.903748
-4.495478,150,882.904359
-8.867533,150,886.049893
-4.24656,150,888.876318
-6.393403,150,891.603683
-5.419525,150,894.096325
-2.821635,150,897.126751
-6.32815,150,900.092453
-1.36206,150,903.196793
-3.867402,150,906.416017
-6.577839,150,909.35184
-3.2659,150,912.620003
8.918567,78,916.374654
-7.667554,150,919.138775
-5.725641,129,921.599483
9.615579,62,922.770817
-7.924067,145,926.022462
-6.37573,150,929.309684
-6.008148,137,931.907609
-3.793559,150,934.571172
-6.246377,150,937.389454
-6.640164,150,940.263932
-4.384016,150,943.194426
-7.874449,150,946.377708
-2.912423,150,949.601124
-2.999229,150,953.044192
-2.41027,150,956.519633
-2.156732,150,961.74607
-7.001641,143,965.20458
9.066593,72,966.606247
-6.476441,150,969.638881
-4.619818,150,972.390547
-5.193955,150,975.483456
-5.819821,150,978.276734
-3.358332,150,981.200116
-7.251274,150,984.418665
-5.510052,150,987.247379
-7.770276,136,990.122339
-4.734862,150,993.173189
-5.999858,150,996.346363
-2.989219,150,999.577629
-4.509325,150,1005.186282
-6.13998,150,1008.085624
