#{"t_start": 1774117949.2008903, "env_id": "None"}
r,l,t
-2.526751,150,843.896888
-8.480917,200,848.737175
-1.467191,200,852.828609
-1.533888,150,855.66341
-3.485709,200,860.402561
-0.413434,200,864.051393
-2.936313,200,868.83779
-1.88984,150,871.799041
9.980135,74,873.325191
-2.908595,200,876.7791
-1.990786,144,880.393284
-2.833568,200,884.433865
-2.620787,108,886.678938
-0.89249,150,890.242654
-1.914646,150,893.227527
-1.562385,52,894.263682
-1.835534,150,897.018991
-1.103035,150,900.711385
-2.229447,200,904.906363
-2.774492,200,908.507043
-2.798964,200,912.815435
-1.014517,150,915.470553
0.209357,200,919.417977
-1.476085,200,924.24234
-2.491987,200,928.193918
-2.436324,200,932.719819
-4.057745,200,936.579827
-2.904026,200,940.849193
-1.581889,150,945.249613
-3.46669,200,948.984483
-2.165067,150,951.723337
-0.987942,150,955.522889
14.194581,80,957.041357
-1.797812,150,959.903003
-3.302044,200,964.326151
13.638022,139,967.817572
-2.049844,200,971.997062
-1.743295,200,976.836872
-0.927874,150,979.932354
-1.849702,150,982.824094
-2.267554,122,984.921624
16.567943,110,987.981963
-1.6695,78,989.431764
-2.806615,200,993.17341
14.450078,110,995.479826
-3.568217,200,1000.143646
-8.019616,200,1004.495928
-8.352259,200,1009.218313
-3.101526,200,1013.480868
-2.549532,200,1017.293849
-2.162296,150,1021.074044
-3.470194,200,1024.853866
-3.968473,200,1028.870805
-8.11929,200,1033.460526
-2.776344,200,1037.816204
-2.184633,150,1040.997208
-4.817679,200,1045.916701
-2.231623,150,1049.036098
-2.115929,200,1053.61381
15.997585,42,1054.596662
14.742806,38,1055.44208
-2.26056,200,1059.481453
-1.287058,150,1062.683154
-2.362158,150,1066.832355
-1.805621,150,1070.201268
-1.227582,200,1074.331249
16.29654,85,1076.287444
-2.127489,200,1081.630893
-2.189429,200,1085.935187
-2.437963,200,1090.23635
-2.367993,150,1093.002625
-2.113943,200,1096.963994
-1.362321,200,1102.028373
-2.441388,200,1106.203363
-2.049263,200,1111.492459
-1.192999,150,1114.640643
-1.875347,200,1119.199886
-2.322789,200,1123.904167
0.405796,200,1128.173946
-2.890085,200,1132.473453
-1.409233,150,1136.422969
-3.95113,200,1140.722874
14.53381,41,1141.682597
-2.216922,150,1144.965009
-4.428506,200,1149.896713
-2.129288,200,1153.896682
-1.329886,150,1157.265069
-2.68757,200,1161.051215
-2.7834,200,1164.377886
-3.341347,200,1168.89506
-2.009696,200,1172.67254
-1.078227,150,1175.393319
-3.231866,200,1179.886364
-2.231634,200,1184.126843
-3.272233,200,1188.844851
-2.778891,150,1192.069389
-3.207239,200,1196.320036
-3.065974,200,1200.872037
-1.977009,150,1203.751005
-2.435486,200,1207.556427
-3.775272,200,1212.103275
-2.71944,200,1215.882768
-1.735916,150,1218.961982
-2.496478,200,1223.390603
-2.255541,200,1227.252193
-2.247106,150,1229.861335
-7.274485,200,1234.037739
-3.765162,200,1237.421195
-2.259861,150,1241.179222
-1.171337,200,1245.524274
-1.591057,150,1248.704646
0.901761,200,1253.389036
-3.377431,200,1257.461725
-1.39215,150,1260.24524
14.715341,176,1264.704763
-0.213334,200,1268.535285
-2.439905,200,1272.143468
-1.210691,150,1275.761976
-2.264911,200,1279.890273
-2.354618,200,1283.846906
-2.315496,200,1288.639896
-1.488613,150,1291.564942
-2.192608,200,1296.736884
-2.487915,200,1300.851792
-2.437358,200,1304.735517
-1.784546,150,1308.042386
-9.909732,200,1311.594352
-2.207837,150,1314.646419
-1.875021,150,1318.775328
-2.925536,200,1322.95529
-1.950506,150,1325.849998
-2.402997,150,1329.550792
-3.467996,200,1333.99057
-2.352646,150,1337.244335
9.883734,75,1338.688104
-2.692808,200,1343.124269
-3.602472,200,1347.271511
-2.853881,200,1352.152417
11.742521,188,1355.904437
-4.250644,200,1359.988663
-1.838856,150,1363.794195
-2.866834,200,1367.493845
-2.217781,200,1371.354535
-1.082786,150,1375.052169
-1.903998,150,1377.889274
-2.165108,150,1380.724356
-2.639192,200,1385.296246
-2.398372,200,1389.566616
2.258534,200,1393.827132
-2.59736,150,1397.601295
-1.810864,150,1400.151669
-2.475208,200,1403.974988
-2.934653,200,1408.985955
14.693573,36,1409.921566
-2.99062,200,1414.02221
14.376983,33,1414.787443
-1.963427,150,1418.352621
-3.75924,200,1422.116188
-2.655972,200,1426.200224
-2.023833,200,1431.299428
-1.959968,200,1435.515719
-3.056763,200,1440.286674
-2.500857,200,1444.476787
-2.20573,200,1448.710068
-1.282283,150,1452.488941
-3.472297,200,1456.49052
-1.743544,150,1459.525924
-2.797078,200,1464.360564
-2.378533,150,1467.490134
13.569793,125,1470.207013
-1.431955,150,1474.162653
-2.478144,200,1478.819623
-1.854429,200,1483.251927
-2.322453,200,1487.592628
-2.109349,200,1491.609648
-2.806906,200,1496.853319
-6.816206,200,1501.19724
-3.204424,200,1505.518218
-1.477862,150,1509.341952
-5.085495,200,1513.486258
-2.440565,200,1517.851401
-1.739657,150,1521.54965
1.377078,200,1525.363008
-0.11993,200,1529.308286
-2.922851,150,1533.440001
-2.229038,150,1536.824557
-4.939901,150,1539.894446
-4.926269,150,1544.125957
-1.139613,150,1547.184388
-3.731086,200,1551.15472
-3.505199,200,1556.11682
-1.770882,150,1558.957459
-3.027352,200,1562.694028
-2.265245,200,1567.521807
-1.913336,150,1570.201027
-2.211286,200,1574.3115
-13.646768,200,1578.946038
-3.82588,200,1582.9312
-1.954027,200,1587.546811
-3.201895,200,1591.631117
-2.579736,200,1594.936741
1.789686,200,1599.677644
-3.536992,200,1603.932048
-2.031285,200,1608.829502
-1.522842,150,1611.902102
-1.605614,150,1614.996231
-1.577876,150,1617.979445
-0.753978,200,1623.212999
-1.305446,150,1626.050602
-7.411116,200,1630.463936
-5.095283,200,1634.256291
-2.188168,150,1637.021796
-1.975838,150,1640.860794
-1.65588,150,1644.013795
-3.031384,200,1648.016386
-2.433271,200,1652.822633
-13.478963,200,1657.095371
-1.052936,150,1660.043536
-3.265332,200,1664.700112
-3.711857,200,1668.555357
-2.320392,200,1672.917546
-2.602512,200,1677.753118
12.133077,62,1679.085571
12.836789,165,1682.414553
-2.363656,200,1687.306682
-1.762896,150,1690.603288
-1.223706,150,1693.814935
-2.210484,200,1698.534265
-4.283209,200,1702.461478
-2.215242,200,1706.023118
